AddressID,property_name,plug_load_consumption,ac_consumption,domestic_gas,heating_gas,kmeans_label,pca_1,pca_2,pca_3,pca_3,Address,Zipcode,Long,Lat,Energy,Measured,Energy in KWH,Annual Energy Bill (USD),Predicted,ReClustering
456 Nostrand Ave11216,HarrietTubmanFannieLouHamerCollectivedbaSistasPlace,0.148009781,0.072794961,0.076335571,0.193365997,0,0.035873087,0.009178142,0.035873087,0.009178142,456 Nostrand Ave,11216,-73.9504883,40.683373,0.166491329,0.021009464,7992.000106," $1,438.56 ",0.004916734,0
51 Cottage Place10302,ReachOutAndTouchMinistriesReport,0.012535264,0.011823406,0.049136383,0.210055301,0,0.167186324,-0.024809022,0.167186324,-0.024809022,51 Cottage Place,10302,-74.1304489,40.6358099,0.014359785,0.009319138,3545.000095, $638.10 ,0.064862405,0
150 Tompkins Ave11206,AbengCenter,0.146406718,0.084781319,0.076335571,0.193365997,0,0.02987461,0.008052542,0.02987461,0.008052542,150 Tompkins Ave,11206,-73.9463324,40.6939713,0.096087944,0.011259201,4283.00006, $770.94 ,-0.003231049,0
408 Marcus Garvey Blvd11216,HouseofArtGallery,0.046008421,0.057460809,0.076335571,0.193365997,0,0.108440439,-0.002325715,0.108440439,-0.002325715,408 Marcus Garvey Blvd,11216,-73.9382722,40.6828827,0.03609187,0.012492114,4752.000166, $855.36 ,0.000316803,0
820 Stanley Ave11207,SouthernBaptistChurch,0.052583439,0.214894734,0.01714361,0.13655501,0,0.050093425,0.028812131,0.050093425,0.028812131,820 Stanley Ave,11207,-73.8789519,40.6612169,0.050108107,0.099263933,37760.00011," $6,796.80 ",0.145120575,0
49-55 Edgecombe Ave10030,StMarksUnitedMethodistChurch,0.135877606,0.058120379,0.009718831,0.088079378,0,0.100284585,0.096587864,0.100284585,0.096587864,49-55 Edgecombe Ave,10030,-73.9468347,40.8186253,0.019502513,0.08966877,34110.00011," $6,139.80 ",0.412733914,0
239 W 139th Street10030,StMarksUnitedMethodistChurch-Parsonage,0.064058023,0.232649607,0.149063655,0.214149543,0,-0.044415798,-0.018432517,-0.044415798,-0.018432517,239 W 139th Street,10030,-73.943372,40.81874,0.016142322,0.011916404,4533.000082, $815.94 ,0.090536736,0
111-113 Vermilyea Avenue10034,NYSERDA_Energy_Assessment_Report_-_Spanish_Van_Dyckman_SDA_Church,0.148009781,0.072794961,0.076335571,0.193365997,0,0.035873087,0.009178142,0.035873087,0.009178142,111-113 Vermilyea Avenue,10034,-73.9216714,40.8661132,0.140010555,0.11500617,43748.34707," $7,874.70 ",0.132528224,0
46-19 206th Street11361,CommunityBaptistChurch,0.06944348,0.377547307,0.01523086,1,2,-0.177223239,-0.816721992,-0.177223239,-0.816721992,46-19 206th Street,11361,-73.7755258,40.7557625,0.147371357,0.057649842,21929.9999," $3,947.40 ",0.1889253,1
975 St. Nicholas Ave.10032,NYSERDA_Energy_Assessment_Report_-_AME_Zion_Church_on_the_Hill,0.148009781,0.072794961,0.076335571,0.193365997,0,0.035873087,0.009178142,0.035873087,0.009178142,975 St. Nicholas Ave.,10032,-73.9404561,40.8341956,0.130693875,0.539789695,205336," $36,960.48 ",0.327942026,0
59-61 W. 137th St.10037,RendallMemorialPresbyterianChurch,0.033911807,0.052338766,0.002645044,0.248719461,0,0.147943852,-0.072420491,0.147943852,-0.072420491,59-61 W. 137th St.,10037,-73.9388203,40.8151905,0.011188676,0.014195584,5400.000154, $972.00 ,0.071811431,0
